Rank,HospitalName,Country
1,Mayo Clinic - Rochester,United States
2,Cleveland Clinic,United States
3,Massachusetts General Hospital,United States
4,The Johns Hopkins Hospital,United States
5,Toronto General - University Health Network,Canada
6,Karolinska Universitetssjukhuset,Sweden
7,Charité - Universitätsmedizin Berlin,Germany
8,AP-HP - Hôpital Universitaire Pitié Salpêtrière,France
9,Singapore General Hospital,Singapore
10,UCLA Health - Ronald Reagan Medical Center,United States
11,Sheba Medical Center,Israel
12,Universitätsspital Zürich,Switzerland
13,Universitätsklinikum Heidelberg,Germany
14,Centre Hospitalier Universitaire Vaudois,Switzerland
15,Universitätsspital Basel,Switzerland
16,Stanford Health Care - Stanford Hospital,United States
17,The University of Tokyo Hospital,Japan
18,Brigham And Women's Hospital,United States
19,AP-HP - Hôpital Européen Georges Pompidou,France
20,Klinikum rechts der Isar der Technischen Universität München,Germany
21,Northwestern Memorial Hospital,United States
22,Sunnybrook Health Sciences Centre,Canada
23,The Mount Sinai Hospital,United States
24,Aarhus Universitetshospital,Denmark
25,New York-Presbyterian Hospital-Columbia and Cornell,United States
26,Mount Sinai Hospital,Canada
27,Rigshospitalet - København,Denmark
28,St. Luke's International Hospital,Japan
29,Asan Medical Center,South Korea
30,Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Austria
31,LMU Klinikum,Germany
32,Medizinische Hochschule Hannover,Germany
33,University of Michigan Hospitals - Michigan Medicine,United States
34,Hospital Israelita Albert Einstein,Brazil
35,Cedars-Sinai Medical Center,United States
36,Amsterdam UMC,Netherlands
37,Oslo Universitetssykehus,Norway
38,Policlinico Universitario A. Gemelli,Italy
39,Helsinki University Hospital,Finland
40,Samsung Medical Center,South Korea
41,CHU Lille - Hôpital Claude-Huriez,France
42,St Thomas' Hospital,United Kingdom
43,Universitätsklinikum Hamburg-Eppendorf,Germany
44,UCSF Medical Center,United States
45,Duke University Hospital,United States
46,UMC Utrecht,Netherlands
47,Kameda Medical Center,Japan
48,UZ Leuven,Belgium
49,Seoul National University Hospital,South Korea
50,Hospital of the University of Pennsylvania - Penn Presbyterian,United States
